"product_name","new_cat","new_subcat","cat","subcat"
", ProIN MegaGrain Protein, Chocolate 100 g, ProIN MegaGrain Protein, Chocolate 100 g, ProIN MegaGrain Protein, Chocolate 100 g, ProIN MegaGrain Protein, Chocolate 100 g, 1421230995340","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", Revelle London 21 Pcs. Ultimate Cosmetics Set","Beauty Products and Personal Care","Everyday Makeup","Beauty Products and Personal Care","Everyday Makeup"
", Platinum100% Fish Oil 100 softgels, Platinum Multivitamin 90 capsules, 1422940735548","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", ProIN MegaBite Grainie Protein Bar, Chocolate 5 bar(s), 1423902772141","Health and Wellness","Pharmacy Products","Health and Wellness","Protein and Health Supplements"
", Sansui 1.8 Inch 1800 mAh Battery Mobile Phone - Black Red","Mobile Phone, Tablets and Accessories","Mobile Accessories","Mobile Phone, Tablets and Accesories","Mobiles"
", Nature's Best Isopure Zero Carb 3Lbs, 1425362413727","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", Nature's Essence Enlaz Oil, 50ml","Health and Wellness","Sexual Wellness","Health and Wellness","Protein and Health Supplements"
", Nutrilite Natural B - 100 Tablets, Amway Nutrilite Bio C (100 Tablets), 1420700146281","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", MuscleTech 100 % Premium Mass Gainer, Chocolate 12 lb Chocolate, 1422707303432","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", MuscleTech Six Star Elite Series Whey Protein, Chocolate 2 lb, 1422888146505","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", MVP BIOTECH Incredible Bulk, 8  Lbs, 1422341382529","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", MusclePharm BCAA, Unflavored 240 capsules, 1421992321723","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", MusclePharm BCAA, Unflavored 240 capsules, 1423219553693","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", Musclepharm Glutamine 300 grms, 1420780311798","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", MetRx Tribulus Terrestris,  90 capsules  Unflavoured, 1426663864992","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", MusclePharm Assault, Pineapple Mango 0.96 lb, 1422072090215","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", MusclePharm Assault/ Fruit Punch, 1423031901671","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", Endura Double Gain,  Chocolate  2.2 lb, 1429274145669","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", Massager, Wow Green Coffe Pack of 1, 1429425465751","Health and Wellness","Protein and Health Supplements","Grocery and Gourmet Food",
", Matrix Creatine Monohydrate,  Unflavored  100 g, Matrix Creatine Monohydrate,  Unflavored  100 g, 1423993806555","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", Cheetah Elbow Support,  Beige  Small, Cheetah Elbow Support,  Beige  Small, 1425015648258","Sports and Outdoors","Exercise and Fitness","Sports and Outdoors","Exercise and Fitness"
", Dymatize Super Mass Gainer, Gourmet Vanilla 12 lbGourmet Vanilla, 1424784889924","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", Dymatize Super Mass Gainer, Rich Chocolate 12 lb, 1423557276394","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", Amway Nutrilite Kids Chewable Multivitamin/ Multimineral (60 Tablets), Amway Nutrilite Kids Chewable Multivitamin/ Multimineral (60 Tablets), 1427134215352","Health and Wellness","Protein and Health Supplements","Health and Wellness",
", Arow At-70 JB Tablet (WiFi), Black","Mobile Phone, Tablets and Accessories","Tablets","Mobile Phone, Tablets and Accesories","Tablets"
"""Black and White"" Bath Towel, 28"" x 52""","Beauty Products and Personal Care","Bath","Beauty Products and Personal Care","Bath"
"(2 PACKS) 8 IN 1 COLORFUL GLITTER PEN","Stationery and Office Products","Stationery","Office Products","Office Stationary"
"[FREE:1]Google Chromecast HDMI Streaming Media Player (Options: Without Airtel Offer)[FREE: Enjoy 2 months of free Eros Now Premium subscription with purchase of a Chromecast. Activation promocode will be sent by email within 5 days of product delivery. ]","Uncategorized","null","Electronics and Appliances","Portable Audio Players"
"[FREE:1]Kingston 8GB Micro SD Card (Class 4) + Free Micro SD Card Reader[FREE: Color of Freebie may vary as per availability ]","Mobile Phone, Tablets and Accessories","Mobile Accessories","Computers and Laptops","Pen Drives and Data Card"
"[FREE:1]KTG English Learner Computer Toy With Freebies[FREE: One USB Single LED Flexible Light and 3 AA Batteries ]","Toys and Games","null","Toys and Games",
"[FREE:1]Lipi Toner Cartridge For HP LJ1007/1008[FREE: EMI option also available ],[FREE:1]Lipi Toner Cartridge For HP LJ1007/1008[FREE: EMI option also available ],[FREE:1]Lipi Toner Cartridge For HP LJ1007/1008[FREE: EMI option also available ]","Computers, Laptops and Accessories","Ink Cartridges and Toners","Office Products","Ink Cartridges and Toners"
"[FREE:1]Micromax Canvas Breeze Tab P660 (Color: Black)[FREE: Aircel internet: Free 500 MB( 2G +3G ) Data per month for 6 months - T&Cs Apply CLICK for details ]","Mobile Phone, Tablets and Accessories","Tablets","Mobile Phone, Tablets and Accesories","Tablets"
"[FREE:1]Nikon D3100 with 18-55mm Lens[FREE: 8 GB Card + DSLR Bag [Outside the Box ] ]","Camera and Photos","DSLR","Camera and Photos","Digital Camera"
"[FREE:1]Nikon D3200 with 18-55mm Lens[FREE: 8 GB Card + Carry Case [Outside the Box ] ]","Camera and Photos","Camera Lens","Camera and Photos","Digital Camera"
"[FREE:1]Nikon D3200 with 18-55mm Lens[FREE: 8 GB Card + DSLR Bag [Outside the Box ] ]","Camera and Photos","Camera Lens","Camera and Photos","Digital Camera"
"[FREE:1]Nikon D5100 with 18-55mm Lens[FREE: 8 GB Card (Outside the box) + DSLR Carry Case (Outside the box) ]","Camera and Photos","DSLR","Camera and Photos","Digital Camera"
"[FREE:1]Nikon D5100 with 18-55mm Lens[FREE: 8 GB Card + DSLR Bag [Outside the Box ] ]","Camera and Photos","Camera Lens","Camera and Photos","Digital Camera"
"[FREE:1]Nikon D5100 with 18-55mm Lens[FREE: 8GBMemory Card(Outside the box) + DSLR Bag ]","Camera and Photos","Camera Lens","Camera and Photos","Digital Camera"
"[FREE:1]Nikon D5200 with 18-55mm Lens[FREE: 8GBMemory Card(Outside the box) + DSLR Bag ]","Camera and Photos","Digital Cameras","Camera and Photos","Digital Camera"
"[FREE:1]Nikon D5300 with 18-55mm Lens[FREE: 8GB Memory Card(Outside the box) + DSLR Bag ]","Camera and Photos","Camera Accessories","Camera and Photos","Digital Camera"
"[FREE:1]Samsung Galaxy Grand Max (Color: White)[FREE: a) INR 800 cash back on SBI credit card  b) Offers worth INR 9590 from Yatra  c) INR 600 on Food Panda (5 vouchers worth  Rs. 120 per person)  d) Free access to 21 digital magazines worth INR 5 000 on Magzter  e) Free 500 MB 3G data per month for 6 months from Aircel   f) Offers worth INR 998 on ZoomIn   b  u  font color=""blue""  a href=""http://www.snapdeal.com/offers/grand-max-t&c"" For T&C Click here /b  /u  /a  /font  ]","Mobile Phone, Tablets and Accessories","Mobiles","Mobile Phone, Tablets and Accesories","Tablets"
"[FREE:1]Strontium 16GB Nitro MicroSD Card With OTG Adapter 65MB/S[FREE: Buy Nitro range of product and get a chance to Fly to Australia  a href=""http://www.strontium.biz/FlyToAustralia"" target=""_blank""  b  u  font color=""Blue"" Click here for Details /font  /u  /b  /a  ]","Computers, Laptops and Accessories","Pen Drives and Memory Cards","Computers and Laptops","Pen Drives and Data Card"
"[FREE:1]Uneestore-bike Body Cover - Hero Motocorp Xtreme[FREE: Car shaped led key chain ]","Automotive","Bike Accessories","Automotive","Bike Accessories"
"[FREE:1]Uneestore-bike Body Cover-royal Enfield Bullet 500[FREE: Car shaped led key chain ]","Automotive","null","Automotive","Bike Accessories"
"[FREE:1]Uneestore-body Cover-honda Activa[FREE: Car shaped led key chain ]","Automotive","Bike Accessories","Automotive","Bike Accessories"
"[FREE:1]XElectron Car Inflatable Bed With Electric Pump (beige)[FREE: Electric Pump  1 Pillow  Puncture kit  Carry Bag ]","Automotive","Car Accessories","Home and Kitchen","Furniture"
"0 Annoyance Blue Casual Shoes (Size: 8)","Shoes and Footwear","Men's Footwear","Shoes and Footwear","Men's Footwear"
"1 OTG CABLE (HCL Dual SIM Dual Core 3G Calling Tablet)","Mobile Phone, Tablets and Accessories","Tablets","Mobile Phone, Tablets and Accesories","Mobile Accessories"
"1) Asus Zenfone 5 A501CG, [""Manual"", ""Handset"", ""Charger"", ""USB Cable"", ""Headset"", ""Warranty Card""] , ","Mobile Phone, Tablets and Accessories","Mobiles","Mobile Phone, Tablets and Accesories","Mobiles"
"1) BSNL-Champion SM3513,  , ","Mobile Phone, Tablets and Accessories","Case, Cover and Screenguards","Mobile Phone, Tablets and Accesories","Mobiles"
"1) Casio Youth  Digital Watch  - For Men, [""Warranty Card"", ""Instructions Manual""] , ","Watches, Eyewear and Jewellery","Watches","Watches, Eyewear and Jewellery","Watches"
"1) iBall Airway 7.2MP-18 7.2 Mbps 3G Data Card, ,","Computers, Laptops and Accessories","Computer Components and Accessories","Computers and Laptops","Pen Drives and Data Card"
"1) Joe Black Rectangular Sunglasses, Warranty Card, Brochure Booklet, Cleaning Cloth , ","Watches, Eyewear and Jewellery","Eyewear","Watches, Eyewear and Jewellery","Eyewear"
"1) Lenovo A6000, [""Battery"", ""Headset"", ""2 Pin Wall Charger"", ""USB Cable"", ""Handset""] ,","Mobile Phone, Tablets and Accessories","Mobiles","Mobile Phone, Tablets and Accesories","Mobiles"
"1) Micromax Unite 2 A106 with 8 GB ROM, [""Warranty Card"", ""User Guide"", ""Handset"", ""USB Cable"", ""Charger"", ""Battery"", ""Headset"", ""DOA""] , ","Mobile Phone, Tablets and Accessories","Mobiles","Mobile Phone, Tablets and Accesories","Mobiles"
"1) Moto G (2nd Gen), [""Battery Door"", ""User Manual"", ""Headset"", ""Handset with Inbuilt Battery"", ""Charger"", ""DOA""] , ","Mobile Phone, Tablets and Accessories","Mobiles","Mobile Phone, Tablets and Accesories","Mobiles"
"1) Redmi 1S, [""Charger"", ""Handset"", ""User Guide"", ""USB 2.0 Cable"", ""DOA""] ,","Mobile Phone, Tablets and Accessories","Mobile Accessories","Mobile Phone, Tablets and Accesories","Mobiles"
"1) Redmi 1S, [""Charger"", ""Handset"", ""User Guide"", ""USB 2.0 Cable"", ""DOA""] , ","Mobile Phone, Tablets and Accessories","Mobiles","Mobile Phone, Tablets and Accesories","Mobiles"
"1) Redmi 1S, [""Charger"", ""Handset"", ""User Guide"", ""USB 2.0 Cable""] , ","Mobile Phone, Tablets and Accessories","Mobiles","Mobile Phone, Tablets and Accesories","Mobiles"
"1) Rockford Aviator Sunglasses, Brochure Booklet, Cleaning Cloth , ","Watches, Eyewear and Jewellery","Eyewear","Watches, Eyewear and Jewellery","Eyewear"
"1) Samsung MicroSDHC 16 GB Class 10 Evo,  , ","Computers, Laptops and Accessories","Pen Drives and Memory Cards","Computers and Laptops","Pen Drives and Data Card"
"1) Sparx Running Shoes, , [""Paper Bag"", ""Cardboard Box"", ""Price Tag""]","Sports and Outdoors","Sports Gear and Equipments","Sports and Outdoors",
"1) Zecado Prdxxl Bean Bag Cover  - Without Beans, 1 Bean Bag Cover , ","Home and Kitchen","Home Decor and Furnishing","Home and Kitchen","Home Furnishing"
"100 Pcs 8 inches Bamboo Barbecue Party Sticks! Kebab Skewers Long Toothpicks","Home and Kitchen","Kitchenware","KitchenWare",
"100% Original Areon Car Air Home Office Gel Based Perfume Freshener~Wish","Automotive","Car Accessories","Beauty Products and Personal Care","Deodrants and Fragrances"
"100%waterproof bikes cover bajaj avenger","Automotive","Bike Accessories","Automotive","Bike Accessories"
"12 Pcs. White Cotton Handkerchief","Apparel and Accessories","null","Apparel & Accessories","Men's Clothing"
"14in1 Multy Utility Army Knife Swiss Tools","Tools and Hardware","Other Tools","KitchenWare",
"16 GB Strontium microSDHC Memory Card (Class 10) With All-in-one Card Reader - SR16GTFC10A","Computers, Laptops and Accessories","Pen Drives and Memory Cards","Computers and Laptops","Pen Drives and Data Card"
"18 watt led tubelight","Home and Kitchen","Home Decor and Furnishing","Electronics and Appliances",
"1pc Quantity of old suborder 94616209(Phoenix Men's Jeans - Set Of 2-34)","Apparel and Accessories","Men's Clothing","Apparel & Accessories","Men's Clothing"
"1pc sunglass (Exclusive Combo of 2 Suit Lengths by Mafatlal )","Watches, Eyewear and Jewellery","Eyewear","Watches, Eyewear and Jewellery","Eyewear"
"2 DRESSES","Apparel and Accessories","null","Apparel & Accessories","Women's Clothing"
"2 Mobile, 2 Charger, 2 Earphone, 2 Battery, Wrist Watch, Head Phone, Power Bank, Aluma Wallet","Unclear","null","Mobile Phone, Tablets and Accesories","Mobiles"
"20Dresses package","Unclear","null","Apparel & Accessories","Men's Clothing"
"24 Carat Ganesh Laxmi Durga Gold Plated Idol - 3 Inches","Home and Kitchen","Home Decor and Furnishing","Home and Kitchen","Home Decor"
"24 Casual AVM Flip Cover For Samsung Galaxy S Ii For I9100","Mobile Phone, Tablets and Accessories","Case, Cover and Screenguards","Mobile Phone, Tablets and Accesories","Case, Cover and Screenguards"
"24 Casuals K-2 Teak Shoes (Size: 10)","Shoes and Footwear","Men's Footwear","Shoes and Footwear","Men's Footwear"
"2Day Pack of 4 Leggings (Size: XL)","Apparel and Accessories","Women's Clothing","Apparel & Accessories","Women's Clothing"
"2GB DDR3 Strontium,2GB DDR3 Strontium","Computers, Laptops and Accessories","Computer Components and Accessories","Computers and Laptops","Computer Accessories"
"2go Active Gear USA Men Black T-shirt:Tshirts","Apparel and Accessories","Men's Clothing","Apparel & Accessories","Men's Clothing"
"3 in 1 Nano/Micro TO Standard SIM Card Adapter Holder","Mobile Phone, Tablets and Accessories","Mobile Accessories","Mobile Phone, Tablets and Accesories","Mobile Accessories"
"3 LED Bulbs Combo of 12W  15W  18W (Set of 3 Bulbs) ","Electronics and Appliances","Home and Kitchen Appliances","Electronics and Appliances",
"30 Led Rechargeable Lights","Electronics and Appliances","Home and Kitchen Appliances","Electronics and Appliances",
"32 GB Strontium microSDHC Memory Card (Class 10) - SR32GTFC10A","Computers, Laptops and Accessories","Pen Drives and Memory Cards","Computers and Laptops","Pen Drives and Data Card"
"3500 MAH Power Case With Flip Cover For Samsung Galaxy S4","Mobile Phone, Tablets and Accessories","Case, Cover and Screenguards","Mobile Phone, Tablets and Accesories","Case, Cover and Screenguards"
"3W LED Bulb  Set Of 3 Pcs","Home and Kitchen","Home Decor and Furnishing","Electronics and Appliances",
"4 Gb Micro SD Memory Card class 6","Computers, Laptops and Accessories","Pen Drives and Memory Cards","Computers and Laptops","Pen Drives and Data Card"
"42 LED Power Zoom- Rechargeable Emergency Light Ultra Bright ","Electronics and Appliances","Home and Kitchen Appliances","Electronics and Appliances",
"4d Hp Compaq 4000 4320t 500 510 520 530 540 541 550 18.5v 3.5a Power Adapter 65w Battery Charger","Computers, Laptops and Accessories","Computer Components and Accessories","Mobile Phone, Tablets and Accesories","Mobile Accessories"
"4play Rock Team Bring It T-shirt (Size: M)","Apparel and Accessories","Men's Clothing","Apparel & Accessories","Men's Clothing"
"5 Branded Jeans-DEALS-5","Apparel and Accessories","Men's Clothing","Apparel & Accessories","Men's Clothing"
"5 Casual Shirts","Apparel and Accessories","null","Apparel & Accessories","Men's Clothing"
"5 jeans-AZTECH(ANKIT)","Apparel and Accessories","null","Apparel & Accessories","Men's Clothing"
"5 Watt LED White Bulb (Set of 5 pcs)","Home and Kitchen","Home Decor and Furnishing","Electronics and Appliances",
"6 Pendant Sets by Asian Pearls","Watches, Eyewear and Jewellery","Jewellery","Watches, Eyewear and Jewellery","Jewellery"
"7 in 1 Kitchen Mate with Free Juicer-BlackRed","Home and Kitchen","Kitchenware","KitchenWare",
"7 Plus Power Extension Board","Electronics and Appliances","null","Electronics and Appliances",
"7&7 Tempered Glass Screen Protector Scratch Guard For Google Lg Nexus 5","Mobile Phone, Tablets and Accessories","Case, Cover and Screenguards","Mobile Phone, Tablets and Accesories","Case, Cover and Screenguards"
"7&seven Nillkin Fresh Flip Cover For Sony Xperia Z L36h - Black","Mobile Phone, Tablets and Accessories","Case, Cover and Screenguards","Mobile Phone, Tablets and Accesories","Case, Cover and Screenguards"
"7&seven Z Series Magnetic High Quality Flip Case Cover Stand For Asus Zenfone 4 - White Orange","Mobile Phone, Tablets and Accessories","Case, Cover and Screenguards","Mobile Phone, Tablets and Accesories","Case, Cover and Screenguards"
"76Cm Sparta Black Soft Luggage Strolley,","Handbags, Bags and Luggage","null","Handbags, Bags and Luggage",
"8 GB Sandisk Memory Card with 5 year warrenty","Computers, Laptops and Accessories","Pen Drives and Memory Cards","Computers and Laptops","Pen Drives and Data Card"
"80 Graded Studies for Saxophone, Book One: (Alto/Tenor) (English)","Books, Software and E-learning","Books","Movies, Music and Video Games",
"999 Shop by Sanskruti","Watches, Eyewear and Jewellery","Jewellery","Apparel & Accessories","Women's Clothing"
"A&K A6 Purple GSM Mobile","Mobile Phone, Tablets and Accessories","Mobiles","Mobile Phone, Tablets and Accesories","Mobiles"
"Aara Flip Cover For Lg L Bello D335 - Black","Mobile Phone, Tablets and Accessories","Case, Cover and Screenguards","Mobile Phone, Tablets and Accesories","Case, Cover and Screenguards"
"Aaros Maya Blue Slippers (Size-8)","Shoes and Footwear","Men's Footwear","Shoes and Footwear","Men's Footwear"
"Aarti Creation Cute Tweety Rubber Keychain- Set Of 4","Uncategorized","null","Gifts",
"Aarya 3 RTS Red, Green & Black /Aarya 3 RTS Navy, Yellow & Off white","Apparel and Accessories","Women's Clothing","Apparel & Accessories","Women's Clothing"
"Aarya pack of 3 Pink","Unclear","null","Apparel & Accessories","Women's Clothing"
"Aarya Summer Special Pack 4 RTS Combo","Apparel and Accessories","Women's Clothing","Apparel & Accessories","Women's Clothing"
"Ab Circle Pro Exercisers","Health and Wellness","null","Health and Wellness","Health Devices"
"Ab Slimmer Sauna Belt","Sports and Outdoors","Exercise and Fitness","Health and Wellness","Health Devices"
"Ab Wheel","Sports and Outdoors","Exercise and Fitness","Health and Wellness","Health Devices"
"Ab Wheel / Ab Roller With Mat (Imported)","Sports and Outdoors","Exercise and Fitness","Health and Wellness","Health Devices"
"Abaco Pure  Massage Olive Oil 200ml  Buy 1 Get 1 Free < Imported From Spain","Grocery and Gourmet Food","Frozen Food Items","Grocery and Gourmet Food",
"ABRO Car Wash CW-990-32 (946 ml)+Microfiber Cloth","Automotive","Car Accessories","Automotive","Car Accesories"
"Accedre Travel Combo - Inflatable Neck Cushion With Eye Mask With Ear Plugs, 22747","Automotive","Car Accessories","Beauty Products and Personal Care","Everyday Makeup"
"Accedre Water Spray Hose Gun and Microfiber Glove","Home and Kitchen","Home Decor and Furnishing","Automotive","Car Accesories"
"Accessories USB Cable","Mobile Phone, Tablets and Accessories","Mobile Accessories","Mobile Phone, Tablets and Accesories","Mobile Accessories"
"Accessorize Set of 3 Hairbands:Hair Accessory","Apparel and Accessories","null","Beauty Products and Personal Care","Hair Care"
"Accessorize Set of 4 Hair Grasps:Hair Accessory","Beauty Products and Personal Care","null","Beauty Products and Personal Care","Hair Care"
"Accu Chek Lancets 200's","Health and Wellness","Diabetic Care","Health and Wellness","Health Devices"
"Accu-Chek Active 100 Strips Pack - Expiry Mar 2016","Health and Wellness","Diabetic Care","Health and Wellness","Health Devices"
"Accu-Chek Active Glucose Meter","Health and Wellness","Diabetic Care","Health and Wellness","Health Devices"
"Accu-Chek Active Glucose Monitor (Includes 10 Test Strips  1 Softclix Lancing Device  10 Sterile Lancets)","Health and Wellness","Diabetic Care","Health and Wellness","Health Devices"
"Acer Aspire E1-531 Laptop Adapter / Battery Charger 19v 3.42","Computers, Laptops and Accessories","Computer Components and Accessories","Computers and Laptops","Laptop"
"Acer Black Laptop Bag With Selfieseven Black Card Wallet  Sunglass  Leather Wallet  Hand Watch and OTG Cable Combo","Computers, Laptops and Accessories","Computer Components and Accessories","Handbags, Bags and Luggage",
"Acer Black Laptop Bag,Acer Black Laptop Bag","Computers, Laptops and Accessories","Computer Components and Accessories","Handbags, Bags and Luggage",
"Acer Iconia W4-820 Tablet","Mobile Phone, Tablets and Accessories","Tablets","Mobile Phone, Tablets and Accesories","Tablets"
"Action Multi Slippers (Size-8)","Shoes and Footwear","null","Shoes and Footwear","Men's Footwear"
"Action Shoes Sandals","Shoes and Footwear","Men's Footwear","Shoes and Footwear","Men's Footwear"
"Acupuncture Slippers","Shoes and Footwear","null","Shoes and Footwear","Men's Footwear"
"Adah 3 sarees Red Green bandhni","Apparel and Accessories","Women's Clothing","Apparel & Accessories","Women's Clothing"
"Adata 16 GB  Pen Drive (Black)","Computers, Laptops and Accessories","Pen Drives and Memory Cards","Computers and Laptops","Pen Drives and Data Card"
"ADATA Premier DDR3 4 GB PC RAM (AD3U1600W4G11-B/AD3U1600W4G11-R)","Computers, Laptops and Accessories","Computer Components and Accessories","Computers and Laptops","Computer Accessories"
"Adcom Kitkat A54 (Color: Black)","Mobile Phone, Tablets and Accessories","Mobiles","Mobile Phone, Tablets and Accesories","Mobiles"
"Addlap Laptop Charger For Toshiba 19vol 3.42 Amp","Computers, Laptops and Accessories","Computer Components and Accessories","Computers and Laptops","Computer Accessories"
"Adelene Full Sleeve jacket - Black(51357)|YPM,","Apparel and Accessories","Women's Clothing","Apparel & Accessories","Men's Clothing"
"Adidas Black Cruz M Sport Shoes (Size: 7)","Sports and Outdoors","Sports Gear and Equipments","Shoes and Footwear","Men's Footwear"
"Adidas Black Sport Shoes For Men (Size: 10)","Sports and Outdoors","Sports Gear and Equipments","Shoes and Footwear","Men's Footwear"
"Adidas Brown Cargo Shoes (Size: 7)","Shoes and Footwear","Men's Footwear","Shoes and Footwear","Men's Footwear"
"Adidas Deodorants For Men - Combo Pack Of 4 - Assorted Flavours","Beauty Products and Personal Care","Deodrants and Fragrances","Beauty Products and Personal Care","Deodrants and Fragrances"
"Adidas Dynamic Pulse & Pure Game Deodorant for Men-150ml Each","Beauty Products and Personal Care","Deodrants and Fragrances","Beauty Products and Personal Care","Deodrants and Fragrances"
"Adidas Esta Sandals","Sports and Outdoors","null","Shoes and Footwear","Men's Footwear"
